"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 31 20:54:42 UTC 2024","Thu Oct 31 20:54:48 UTC 2024","6204","KZ - Portal","","Profile Area > Change PIN","","","PRO-41: Verify that an error message is displayed when re-entering the PIN with an incorrect number",""
"passed","Thu Oct 31 20:53:21 UTC 2024","Thu Oct 31 20:53:29 UTC 2024","7793","KZ - Portal","","Profile Area > Transaction History","","","PRO-17: Verify user can filter transaction type: Promotions",""
"passed","Thu Oct 31 20:54:24 UTC 2024","Thu Oct 31 20:54:30 UTC 2024","6394","KZ - Portal","","Profile Area > Logout","","","PRO-35: Verify that User can log out successfully when clicking Log out button on confirm popup",""
"passed","Thu Oct 31 20:54:58 UTC 2024","Thu Oct 31 20:55:02 UTC 2024","3839","KZ - Portal","","Register Area","","","REG-5: Verify that user cannot register with 10 digits phone number but not starting with 0",""
"passed","Thu Oct 31 20:51:06 UTC 2024","Thu Oct 31 20:53:45 UTC 2024","158878","KZ - Portal","","Games Area","","","GAM-6: Verify user is able to open game",""
"passed","Thu Oct 31 20:57:16 UTC 2024","Thu Oct 31 20:57:22 UTC 2024","6386","KZ - Portal","","Withdraw Area","","","WIT-9: Verify percentage progress bar works correctly with 25% value",""
"passed","Thu Oct 31 20:53:29 UTC 2024","Thu Oct 31 20:53:35 UTC 2024","6017","KZ - Portal","","Profile Area > Transaction History","","","PRO-18: Verify that User can go back to My profile page when clicking on Back icon",""
"passed","Thu Oct 31 20:52:27 UTC 2024","Thu Oct 31 20:52:33 UTC 2024","6008","KZ - Portal","","Profile Area > Transaction History","","","PRO-6: Verify that Transactions History page displays when clicking on Transactions History item",""
"passed","Thu Oct 31 20:52:15 UTC 2024","Thu Oct 31 20:52:20 UTC 2024","5246","KZ - Portal","","Profile Area > Bank Account","","","PRO-4: Verify that Bank Accounts page displays when clicking on Bank Account item",""
"passed","Thu Oct 31 20:56:20 UTC 2024","Thu Oct 31 20:56:31 UTC 2024","11347","KZ - Portal","","Register Area > Grouping tests that submit valid phone number","","","REG-16: Verify that user can enter bank details and login successfully",""
"passed","Thu Oct 31 20:49:30 UTC 2024","Thu Oct 31 20:49:36 UTC 2024","6777","KZ - Portal","","Deposit Area","","","DEP-10: Verify error displays when submit deposit with negative amount",""
"failed","Thu Oct 31 20:50:44 UTC 2024","Thu Oct 31 20:50:56 UTC 2024","11816","KZ - Portal","","Deposit Area","","","DEP-13: Verify error do not display when submit deposit with amount > 100",""
